,SubID,time,MAXAQI,PM10Iaqi,PM10value,PM2_5Iaqi,PM2_5value,COIaqi,COvalue,NO2Iaqi,NO2value,SO2Iaqi,SO2value,O3_1Iaqi,O3_1value,O3_8Iaqi,O3_8value
97,15086,2020-12-25 20:00:00,133,105,159,133,101,14,1371,54,108,9,27,5,13,23,46
98,15087,2020-12-25 20:00:00,133,101,151,133,101,15,1424,54,108,10,29,5,14,22,43
99,15088,2020-12-25 20:00:00,127,98,145,127,96,22,2151,52,103,9,26,2,6,19,38
100,15089,2020-12-25 20:00:00,134,99,148,134,102,20,1961,33,65,10,28,15,47,31,61
101,15090,2020-12-25 20:00:00,148,112,174,148,113,12,1104,50,100,13,38,8,24,26,52
102,15091,2020-12-25 20:00:00,152,111,171,152,116,11,1064,34,68,10,29,16,49,32,63
103,15095,2020-12-25 20:00:00,147,107,163,147,112,20,1968,59,117,12,36,5,13,23,45
104,15096,2020-12-25 20:00:00,0,,,,,,,,,,,,,,
105,15097,2020-12-25 20:00:00,150,130,210,150,115,22,2110,55,110,14,40,5,15,23,45
106,15098,2020-12-25 20:00:00,113,110,169,113,85,9,862,52,103,28,83,4,11,24,47
107,15099,2020-12-25 20:00:00,150,110,170,150,115,17,1621,53,106,27,81,7,20,16,32
108,15100,2020-12-25 20:00:00,140,102,153,140,107,18,1707,53,105,8,24,3,9,28,55
109,15101,2020-12-25 20:00:00,135,107,163,135,103,18,1751,54,108,7,20,7,21,22,44
110,15102,2020-12-25 20:00:00,152,116,181,152,116,22,2190,54,108,33,99,3,8,23,45
111,15103,2020-12-25 20:00:00,137,105,160,137,104,15,1415,46,92,10,29,2,6,21,41
112,15104,2020-12-25 20:00:00,142,109,167,142,108,18,1736,54,108,32,94,2,6,21,42
113,15105,2020-12-25 20:00:00,110,86,122,110,83,13,1247,21,42,6,17,15,46,29,58
114,15106,2020-12-25 20:00:00,128,109,168,128,97,16,1571,41,82,15,44,2,6,17,33
115,15107,2020-12-25 20:00:00,125,106,161,125,95,12,1190,38,76,10,29,10,29,27,54
116,15108,2020-12-25 20:00:00,188,124,198,188,141,17,1696,46,92,34,100,6,18,29,57
117,15109,2020-12-25 20:00:00,183,121,191,183,138,8,775,43,85,7,20,13,40,27,54
118,15110,2020-12-25 20:00:00,190,119,188,190,143,12,1136,20,40,6,18,25,79,40,79
119,15111,2020-12-25 20:00:00,201,135,220,201,151,10,981,24,48,8,23,16,51,28,56
120,15112,2020-12-25 20:00:00,185,127,203,185,139,12,1158,27,54,7,21,18,57,32,63
