,Area_code,Area_name,Enterprise_name,Latitude,Longitude,Pname,Stcode,Stname,Substation_id
97,370114,高新区,高新东区街道办事处,36.694943,117.305441,高新东区街道办事处,370114,高新区,15166
98,370114,高新区,遥墙街道办事处,36.822585,117.198169,遥墙街道办事处,370114,高新区,15167
99,370114,高新区,创新谷街道办事处,36.507979,116.807276,创新谷街道办事处,370114,高新区,15169
100,370114,高新区,章锦街道办事处,36.660715,117.214247,章锦街道办事处,370114,高新区,17700
101,370116,莱芜区,寨里镇,36.31132015,117.49991019,寨里镇,370116,莱芜区,12110
102,370116,莱芜区,牛泉镇,36.1965403,117.54895819,牛泉镇,370116,莱芜区,12111
103,370116,莱芜区,口镇街道办事处,36.31226817,117.62938949,口镇街道办事处,370116,莱芜区,12112
104,370116,莱芜区,苗山镇,36.32215629,117.79863351,苗山镇,370116,莱芜区,12113
105,370116,莱芜区,高庄街道办事处,36.18859194,117.65642794,高庄街道办事处,370116,莱芜区,12114
106,370116,莱芜区,雪野街道办事处,36.43050232,117.61057775,雪野街道办事处,370116,莱芜区,12117
107,370116,莱芜区,莱芜战役纪念馆,36.22329951,117.69919553,莱芜战役纪念馆,370116,莱芜区,12153
108,370116,莱芜区,技术学院,36.23518694,117.69188311,技术学院,370116,莱芜区,12155
109,370116,莱芜区,茶业口镇,36.49175175,117.69860348,茶业口镇,370116,莱芜区,13271
110,370116,莱芜区,方下街道办事处,36.23690451,117.57548165,方下街道办事处,370116,莱芜区,13272
111,370116,莱芜区,杨庄镇,36.2510967,117.4434597,杨庄镇,370116,莱芜区,13275
112,370116,莱芜区,大王庄镇,36.36707022,117.48785511,大王庄镇,370116,莱芜区,13276
113,370116,莱芜区,和庄镇,36.40934436,117.81660754,和庄镇,370116,莱芜区,13277
114,370116,莱芜区,羊里街道办事处,36.33482514,117.55461094,羊里街道办事处,370116,莱芜区,13278
115,370117,钢城区,里辛街道办事处,36.13060724,117.81912992,里辛街道办事处,370117,钢城区,12115
116,370117,钢城区,颜庄街道办事处,36.133756,117.774139,颜庄街道办事处,370117,钢城区,12116
117,370117,钢城区,钢城区环保局,36.06352891,117.82313429,钢城区环保局,370117,钢城区,12152
